1, 58682055
5, 12206350
9, 7659813
13, 5860840
17, 5082543
21, 4267542
25, 3512841
29, 3354743
33, 3203739
37, 2989949
41, 2872971
45, 2766131
49, 2769916
53, 2690196
57, 2664110
61, 2658160
65, 2706297
69, 2631816
73, 2602757
77, 2579844
81, 2642721
85, 2710758
89, 2675838
93, 2744737
97, 2673945
101, 2782762
105, 2624844
109, 2594264
113, 2656513
117, 2720938
121, 2692001
125, 2780121
129, 2896532
133, 2738740
137, 2921363
141, 2713732
145, 2725202
149, 2895273
153, 2762004
157, 2700050
161, 2787677
165, 2631916
169, 2760180
173, 2646547
177, 2675205
181, 2721873
185, 2843106
189, 2711007
193, 2781334
197, 2699222
201, 2750930
205, 2740404
209, 2730711
213, 2791945
217, 2726955
221, 2697163
225, 2671035
229, 2775603
233, 2521328
237, 2603636
241, 2675840
245, 2639081
249, 2581509
253, 2606905
